번호,상호,도로명주소,지번주소,좌표
7631,골드복권,경북 구미시 송평로 5,경북 구미시 고아읍 문성리 165-2,"128.3540904,36.1630176"
7632,웃는 복권방,경북 구미시 형곡로39길 3,경북 구미시 형곡동 186-4,"128.3399125,36.1084154"
7633,예스로또마트,경북 구미시 상모로8길 19-10,경북 구미시 상모동 58-4,"128.3567900,36.0880384"
7634,떡보의하루 구미점,경북 구미시 구미대로24길 7-1,경북 구미시 신평동 310-3,"128.3640356,36.1147516"
7635,동행복권,경북 구미시 신시로 162,경북 구미시 송정동 11-1,"128.3390944,36.1219162"
7636,GS25봉곡대로로또,경북 구미시 봉곡로 38,경북 구미시 봉곡동 541-5,"128.3101156,36.1420153"
7637,로또디온리블루,경북 구미시 인동46길 9,경북 구미시 구평동 463-5,"128.4406743,36.0922188"
7638,부계 복권,대구 군위군 부흥로 7,대구 군위군 부계면 창평리 1010,"128.6657842,36.0989746"
7639,팔팔복권,경북 김천시 시청로 81,경북 김천시 신음동 989-2,"128.1170559,36.1355963"
7640,로또판매점,경북 김천시 자산로 142-1,경북 김천시 성내동 38-12,"128.1181432,36.1229362"
7641,백억로또,경북 문경시 상신로 12,경북 문경시 점촌동 240-4,"128.1977688,36.5952412"
7642,황금 복권방,경북 문경시 당교로 204,경북 문경시 모전동 891-3,"128.1854486,36.5849925"
7643,지에스25문경가은,경북 문경시 대야로 2457,경북 문경시 가은읍 왕능리 397-65,"128.0611568,36.6483841"
7644,로또복권 계백장군점,경북 안동시 안기천로 49,경북 안동시 태화동 294-53,"128.7163434,36.5618689"
7645,행복한로또,경북 영덕군 동해대로 4401,경북 영덕군 강구면 삼사리 36,"129.3781499,36.3505386"
7646,복권명당,경북 영덕군 동해대로 4497,경북 영덕군 강구면 오포리 557-5,"129.3793985,36.3586534"
7647,로또명당 영해점,경북 영덕군 예주시장길 30,경북 영덕군 영해면 성내리 472-34,"129.4072580,36.5391268"
7648,대박로또청통점,경북 영천시 금송로 948,경북 영천시 청통면 원촌리 245,"128.8236251,35.9893455"
7649,영남명당,경북 예천군 시장로 63-1,경북 예천군 예천읍 남본리 222-180,"128.4515047,36.6548844"
7650,대박로또와 빨래방,경북 청도군 범곡길 3-52,경북 청도군 화양읍 범곡리 637-1,"128.7301953,35.6465056"
7651,남청송유통,경북 청송군 새마을로 5434,경북 청송군 현동면 거성리 427,"129.0192007,36.2841962"
7652,복권판매점 약목점,경북 칠곡군 약목로 75-3,경북 칠곡군 약목면 복성리 964,"128.3659258,36.0330069"
7653,놀부 복권 판매점,경북 칠곡군 북삼로 72,경북 칠곡군 북삼읍 인평리 1053-3,"128.3403263,36.0734244"
7654,인생로또,경북 칠곡군 북삼로 144,경북 칠곡군 북삼읍 숭오리 16-15,"128.3348199,36.0684835"
7655,빅브라더(BIG BROTHER BURGER),경북 칠곡군 석적로 1017-16,경북 칠곡군 석적읍 중리 661,"128.4006003,36.0785825"
7656,초곡복권명당,경북 포항시 북구 초곡지구로58번길 12,경북 포항시 북구 흥해읍 초곡리 1214,"129.3384316,36.0966633"
7657,행운복권방,경북 포항시 북구 법원로 47,경북 포항시 북구 장성동 1549-12,"129.3853438,36.0791794"
7658,대한로또판매점,경북 포항시 북구 새마을로 66,경북 포항시 북구 용흥동 369-9,"129.3531216,36.0398869"
7659,대박드림,경북 포항시 북구 천마로72번길 7,경북 포항시 북구 양덕동 1457,"129.3978000,36.0831824"
7660,한동로또판매점,경북 포항시 북구 삼흥로 153,경북 포항시 북구 장성동 475,"129.3796954,36.0757033"
7661,우리복권판매점 ,경북 포항시 북구 죽파로 35-1,경북 포항시 북구 죽도동 113-8,"129.3603239,36.0283910"
7662,토토양행,경북 경주시 태종로 801-4,경북 경주시 황오동 390-68번지,"129.2159260,35.8411665"
7663,천하명당복권방,경북 포항시 남구 중섬로 26 ,경북 포항시 남구 대잠동 938-2,"129.3474447,36.0137760"
7664,복권판매점,경북 경산시 하양읍 하양로 65,경북 경산시 하양읍 금락리 117-45번지,"128.8157860,35.9111590"
7665,대길통상,경북 경산시 진량읍 공단로 478,경북 경산시 진량읍 신상리 208-7번지,"128.8192391,35.8741771"
